,Movie,Screen,Sales,Audience,Genre,Rate,month,year
1,명량,1587,135748398910,17613682,사극,15세이상관람가,7,2014
2,극한직업,1978,139647979516,16264944,코미디,15세이상관람가,1,2019
3,신과함께-죄와 벌,1912,115698654137,14410754,판타지,12세이상관람가,12,2017
4,국제시장,966,110828014630,14245998,드라마,12세이상관람가,12,2014
5,베테랑,1064,105024756250,13395400,액션,15세이상관람가,8,2015
6,7번방의 선물,787,91431914670,12811206,코미디,15세이상관람가,1,2013
7,암살,1519,98463132781,12705700,액션,15세이상관람가,7,2015
8,신과함께-인과 연,2235,102476768809,12253247,판타지,12세이상관람가,8,2018
9,택시운전사,1906,95284747049,12099971,드라마,15세이상관람가,8,2017
10,부산행,1788,93175877048,11565078,액션,15세이상관람가,7,2016
11,변호인,923,82856578300,11372451,드라마,15세이상관람가,12,2013
12,기생충,1948,87459840095,10313087,드라마,15세이상관람가,5,2019
13,검사외전,1812,77252755264,9699092,범죄,15세이상관람가,2,2016
14,엑시트,1660,79232212162,9426051,코미디,12세이상관람가,7,2019
15,관상,1190,66005451500,9134586,사극,15세이상관람가,9,2013
16,설국열차,1128,64016480000,8914845,SF,15세이상관람가,8,2013
17,수상한 그녀,692,62696639249,8656397,드라마,15세이상관람가,1,2014
18,해적: 바다로 간 산적,838,66240631706,8646758,어드벤처,12세이상관람가,8,2014
19,백두산,1971,69825366300,8252669,어드벤처,12세이상관람가,12,2019
20,히말라야,1009,60173583015,7759473,드라마,12세이상관람가,12,2015
21,밀정,1444,61158644831,7487545,액션,15세이상관람가,9,2016
22,1987,1299,58165581145,7231638,드라마,15세이상관람가,12,2017
23,베를린,894,52354931637,7166199,액션,15세이상관람가,1,2013
24,터널,1105,57510324417,7118592,드라마,12세이상관람가,8,2016
25,타짜: 원 아이드 잭,1429,19673441214,2227671,범죄,청소년관람불가,9,2019
26,인천상륙작전,1049,55101410303,7049643,전쟁,12세이상관람가,7,2016
27,럭키,1158,56361435256,6965706,코미디,15세이상관람가,10,2016
28,은밀하게 위대하게,1341,48663939413,6953800,액션,15세이상관람가,6,2013
29,곡성,1485,55853108382,6878264,미스터리,15세이상관람가,5,2016
30,범죄도시,1315,56077813249,6851297,범죄,청소년관람불가,10,2017
31,군함도,2027,50510565168,6592151,액션,15세이상관람가,7,2017
32,사도,1210,48842902501,6246849,사극,12세이상관람가,9,2015
33,연평해전,1013,45560620330,6043458,드라마,12세이상관람가,6,2015
34,청년경찰,1102,44241099316,5636259,액션,15세이상관람가,8,2017
35,숨바꼭질,779,39593038500,5602543,스릴러,15세이상관람가,8,2013
36,덕혜옹주,964,44344141109,5593551,사극,12세이상관람가,8,2016
37,더 테러 라이브,743,39866712881,5583596,범죄,15세이상관람가,7,2013
38,감시자들,949,39298005179,5496547,범죄,15세이상관람가,7,2013
39,검은 사제들,1088,42395347092,5440945,미스터리,15세이상관람가,11,2015
40,안시성,1540,46335334026,5440186,사극,12세이상관람가,9,2018
41,완벽한 타인,1313,44356752474,5294119,드라마,15세이상관람가,10,2018
42,독전,1357,43484892913,5063620,범죄,15세이상관람가,5,2018
43,공작,1317,42759410176,4971261,드라마,12세이상관람가,8,2018
44,마스터,1501,39811539665,4940091,액션,15세이상관람가,12,2016
45,봉오동 전투,1476,40514276538,4779501,사극,15세이상관람가,8,2019
46,군도: 민란의 시대,1394,36987755999,4774895,사극,15세이상관람가,7,2014
47,남산의 부장들,1659,41223596650,4750104,드라마,15세이상관람가,1,2020
48,악인전,1307,29128292150,3364079,범죄,청소년관람불가,5,2019
49,나쁜 녀석들: 더 무비,1511,39560195124,4573902,범죄,15세이상관람가,9,2019
50,강철비,1426,35477912466,4451336,액션,15세이상관람가,12,2017
51,다만 악에서 구하소서,1997,38536886110,4350041,범죄,15세이상관람가,8,2020
52,판도라,1166,33861718164,4302032,드라마,12세이상관람가,12,2016
53,마약왕,1297,16222446942,1864076,범죄,청소년관람불가,12,2018
54,용의자,807,30037161000,4131248,액션,15세이상관람가,12,2013
55,꾼,1314,31313568795,4018341,범죄,15세이상관람가,11,2017
56,아수라,1278,20576226662,2594028,범죄,청소년관람불가,9,2016
57,박수건달,599,28343986569,3893216,코미디,15세이상관람가,1,2013
58,조선명탐정 : 사라진 놉의 딸,811,30456879428,3872015,사극,12세이상관람가,2,2015
59,역린,1054,29893297890,3849433,사극,15세이상관람가,4,2014
60,남한산성,1229,31067321992,3829891,사극,15세이상관람가,10,2017
61,반도,2575,33067818280,3811722,액션,15세이상관람가,7,2020
62,암수살인,1177,32855895548,3772620,범죄,15세이상관람가,10,2018
63,국가부도의 날,1180,30891765837,3754983,드라마,12세이상관람가,11,2018
64,82년생 김지영,1486,30305744310,3679019,드라마,12세이상관람가,10,2019
65,귀향,876,27245051990,3586523,드라마,15세이상관람가,2,2016
66,아가씨,1171,35114332791,4277071,스릴러,청소년관람불가,6,2016
67,끝까지 간다,645,27006007900,3450143,액션,15세이상관람가,5,2014
68,스파이,785,24436429305,3423920,액션,15세이상관람가,9,2013
69,그것만이 내 세상,862,27441213382,3417629,코미디,12세이상관람가,1,2018
70,돈,1431,28869614062,3389035,범죄,15세이상관람가,3,2019
71,내부자들,1075,56596582057,7071763,범죄,청소년관람불가,11,2015
