,Movie,Screen,Sales,Audience,장르,Rate,month,year,개봉일,감독,배우
0,명량,"1,587","135,748,398,910","17,613,682",사극,15세이상관람가,7,2014,2014-07-30,김한민,"최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕(장남부),김길동,김강일,강태영,하형원,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실,주석태,이성우,고경표,김태훈,한이진,신유람,송대중"
3,극한직업,"1,978","139,647,979,516","16,264,944",코미디,15세이상관람가,1,2019,2019-01-23,이병헌,"류승룡,이하늬,진선규,이동휘,공명,양현민,장진희,한준우,김명준,나철,정재광,정원창,김강현,김지영,오정세,이중옥,홍완표,고봉구,권지훈,권태호,김가빈,박재홍,서호철,김남우,박진아,송영규,안성봉,신하균,심철민,김병호,유제윤,김성우,이정수,김의성,김종수,고경진,고관형,이광기,지찬,구성환,진선규,이도용,천준호,정성훈,이하늬,이한종,임세운,한동희,임정묵,이범찬,이운산,김천,조주한,조현숙,이유진,정우영,신신애,윤설,정윤회,박도영,정재광,최광원,이두일,김윤배,최신득,이왕수,이육현,박정표,정인기,배정선,장지웅,임유란,엄지혜,오민준,태원석,장격수,편광진,하철,변봉식,홍승진,홍은진,허준석"
4,신과함께-죄와 벌,"1,912","115,698,654,137","14,410,754",판타지,12세이상관람가,12,2017,2017-12-20,김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나"
5,국제시장,966,"110,828,014,630","14,245,998",드라마,12세이상관람가,12,2014,2014-12-17,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영,허동원,현봉식,강신철,손영순,박혜진,유정호,남진복,신정섭"
8,베테랑,"1,064","105,024,756,250","13,395,400",액션,15세이상관람가,8,2015,2015-08-05,류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류아벨,정재헌,안길강,마동석,김응수,고규필,서현우,강영묵,한성천,김기천,이문석,이상희,김서원"
10,7번방의 선물,787,"91,431,914,670","12,811,206",코미디,15세이상관람가,1,2013,2013-01-23,이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진"
12,암살,"1,519","98,463,132,781","12,705,700",액션,15세이상관람가,7,2015,2015-07-22,최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원,강영묵,정기섭,금새록,원현준,안민영,허지원,곽자형,허정도,유정호,정인겸,김서원"
14,신과함께-인과 연,"2,235","102,476,768,809","12,253,247",판타지,12세이상관람가,8,2018,2018-08-01,김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수,강재은,전승재,정진영"
15,택시운전사,"1,906","95,284,747,049","12,099,971",드라마,15세이상관람가,8,2017,2017-08-02,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,차순배,김대현,서현우,이봉련,홍완표,문광식,류성현,백인권,허정도,손경원,한사명,한이진"
16,부산행,"1,788","93,175,877,048","11,565,078",액션,15세이상관람가,7,2016,2016-07-20,연상호,"공유,김정희,정유미,이주원,김율호,이영욱,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현,한지은,박명신,이육헌,김시우,백인권,차청화,류성록,주광현"
