,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
1,명량,1587,135748398910,17613.682,사극,15세이상관람가,7,2014,1,11
2,극한직업,1978,139647979516,16264.944,코미디,15세이상관람가,1,2019,1,17
3,신과함께-죄와 벌,1912,115698654137,14410.754,판타지,12세이상관람가,12,2017,0,18
4,국제시장,966,110828014630,14245.998,드라마,12세이상관람가,12,2014,0,6
5,베테랑,1064,105024756250,13395.4,액션,15세이상관람가,8,2015,1,14
6,7번방의 선물,787,91431914670,12811.206,코미디,15세이상관람가,1,2013,1,17
7,암살,1519,98463132781,12705.7,액션,15세이상관람가,7,2015,1,14
8,신과함께-인과 연,2235,102476768809,12253.247,판타지,12세이상관람가,8,2018,0,18
9,택시운전사,1906,95284747049,12099.971,드라마,15세이상관람가,8,2017,1,6
10,부산행,1788,93175877048,11565.078,액션,15세이상관람가,7,2016,1,14
11,변호인,923,82856578300,11372.451,드라마,15세이상관람가,12,2013,1,6
12,기생충,1948,87459840095,10313.087,드라마,15세이상관람가,5,2019,1,6
13,검사외전,1812,77252755264,9699.092,범죄,15세이상관람가,2,2016,1,10
14,엑시트,1660,79232212162,9426.051,코미디,12세이상관람가,7,2019,0,17
15,관상,1190,66005451500,9134.586,사극,15세이상관람가,9,2013,1,11
16,설국열차,1128,64016480000,8914.845,SF,15세이상관람가,8,2013,1,0
17,수상한 그녀,692,62696639249,8656.397,드라마,15세이상관람가,1,2014,1,6
18,해적: 바다로 간 산적,838,66240631706,8646.758,어드벤처,12세이상관람가,8,2014,0,15
19,백두산,1971,69825366300,8252.669,어드벤처,12세이상관람가,12,2019,0,15
20,히말라야,1009,60173583015,7759.473,드라마,12세이상관람가,12,2015,0,6
21,밀정,1444,61158644831,7487.545,액션,15세이상관람가,9,2016,1,14
22,1987,1299,58165581145,7231.638,드라마,15세이상관람가,12,2017,1,6
23,베를린,894,52354931637,7166.199,액션,15세이상관람가,1,2013,1,14
24,터널,1105,57510324417,7118.592,드라마,12세이상관람가,8,2016,0,6
25,타짜: 원 아이드 잭,1429,19673441214,2227.671,범죄,청소년관람불가,9,2019,3,10
26,인천상륙작전,1049,55101410303,7049.643,전쟁,12세이상관람가,7,2016,0,16
27,럭키,1158,56361435256,6965.706,코미디,15세이상관람가,10,2016,1,17
28,은밀하게 위대하게,1341,48663939413,6953.8,액션,15세이상관람가,6,2013,1,14
29,곡성,1485,55853108382,6878.264,미스터리,15세이상관람가,5,2016,1,9
30,범죄도시,1315,56077813249,6851.297,범죄,청소년관람불가,10,2017,3,10
31,군함도,2027,50510565168,6592.151,액션,15세이상관람가,7,2017,1,14
32,사도,1210,48842902501,6246.849,사극,12세이상관람가,9,2015,0,11
33,연평해전,1013,45560620330,6043.458,드라마,12세이상관람가,6,2015,0,6
34,청년경찰,1102,44241099316,5636.259,액션,15세이상관람가,8,2017,1,14
35,숨바꼭질,779,39593038500,5602.543,스릴러,15세이상관람가,8,2013,1,12
36,덕혜옹주,964,44344141109,5593.551,사극,12세이상관람가,8,2016,0,11
37,더 테러 라이브,743,39866712881,5583.596,범죄,15세이상관람가,7,2013,1,10
38,감시자들,949,39298005179,5496.547,범죄,15세이상관람가,7,2013,1,10
39,검은 사제들,1088,42395347092,5440.945,미스터리,15세이상관람가,11,2015,1,9
40,안시성,1540,46335334026,5440.186,사극,12세이상관람가,9,2018,0,11
41,완벽한 타인,1313,44356752474,5294.119,드라마,15세이상관람가,10,2018,1,6
42,독전,1357,43484892913,5063.62,범죄,15세이상관람가,5,2018,1,10
43,공작,1317,42759410176,4971.261,드라마,12세이상관람가,8,2018,0,6
44,마스터,1501,39811539665,4940.091,액션,15세이상관람가,12,2016,1,14
45,봉오동 전투,1476,40514276538,4779.501,사극,15세이상관람가,8,2019,1,11
46,군도: 민란의 시대,1394,36987755999,4774.895,사극,15세이상관람가,7,2014,1,11
47,남산의 부장들,1659,41223596650,4750.104,드라마,15세이상관람가,1,2020,1,6
48,악인전,1307,29128292150,3364.079,범죄,청소년관람불가,5,2019,3,10
49,나쁜 녀석들: 더 무비,1511,39560195124,4573.902,범죄,15세이상관람가,9,2019,1,10
50,강철비,1426,35477912466,4451.336,액션,15세이상관람가,12,2017,1,14
51,다만 악에서 구하소서,1997,38536886110,4350.041,범죄,15세이상관람가,8,2020,1,10
52,판도라,1166,33861718164,4302.032,드라마,12세이상관람가,12,2016,0,6
53,마약왕,1297,16222446942,1864.076,범죄,청소년관람불가,12,2018,3,10
54,용의자,807,30037161000,4131.248,액션,15세이상관람가,12,2013,1,14
55,꾼,1314,31313568795,4018.341,범죄,15세이상관람가,11,2017,1,10
56,아수라,1278,20576226662,2594.028,범죄,청소년관람불가,9,2016,3,10
57,박수건달,599,28343986569,3893.216,코미디,15세이상관람가,1,2013,1,17
58,조선명탐정 : 사라진 놉의 딸,811,30456879428,3872.015,사극,12세이상관람가,2,2015,0,11
59,역린,1054,29893297890,3849.433,사극,15세이상관람가,4,2014,1,11
60,남한산성,1229,31067321992,3829.891,사극,15세이상관람가,10,2017,1,11
61,반도,2575,33067818280,3811.722,액션,15세이상관람가,7,2020,1,14
62,암수살인,1177,32855895548,3772.62,범죄,15세이상관람가,10,2018,1,10
63,국가부도의 날,1180,30891765837,3754.983,드라마,12세이상관람가,11,2018,0,6
64,82년생 김지영,1486,30305744310,3679.019,드라마,12세이상관람가,10,2019,0,6
65,귀향,876,27245051990,3586.523,드라마,15세이상관람가,2,2016,1,6
66,아가씨,1171,35114332791,4277.071,스릴러,청소년관람불가,6,2016,3,12
67,끝까지 간다,645,27006007900,3450.143,액션,15세이상관람가,5,2014,1,14
68,스파이,785,24436429305,3423.92,액션,15세이상관람가,9,2013,1,14
69,그것만이 내 세상,862,27441213382,3417.629,코미디,12세이상관람가,1,2018,0,17
70,돈,1431,28869614062,3389.035,범죄,15세이상관람가,3,2019,1,10
71,내부자들,1075,56596582057,7071.763,범죄,청소년관람불가,11,2015,3,10
72,시동,1515,28098934360,3317.038,드라마,15세이상관람가,12,2019,1,6
73,아이 캔 스피크,1140,25532214986,3280.243,코미디,12세이상관람가,9,2017,0,17
74,마녀,1117,27242029463,3189.091,미스터리,15세이상관람가,6,2018,1,9
75,탐정: 리턴즈,1041,26865721678,3148.038,코미디,15세이상관람가,6,2018,1,17
76,감기,806,21784202000,3119.023,드라마,15세이상관람가,8,2013,1,6
77,스물,926,23558988686,3044.134,코미디,15세이상관람가,3,2015,1,17
78,형,993,23113768293,2979.659,코미디,12세이상관람가,11,2016,0,17
79,프리즌,1047,23790276987,2931.897,범죄,청소년관람불가,3,2017,3,10
80,공조,976,23918185757,2957.33,액션,15세이상관람가,1,2017,1,14
81,브이아이피,996,10956621835,1373.316,범죄,청소년관람불가,8,2017,3,10
82,가장 보통의 연애,1073,24822316930,2917.213,멜로/로맨스,15세이상관람가,10,2019,1,7
83,극비수사,894,22389535897,2860.786,드라마,15세이상관람가,6,2015,1,6
84,표적,665,22256359300,2841.788,액션,15세이상관람가,4,2014,1,14
85,너의 결혼식,962,23670604369,2820.029,멜로/로맨스,12세이상관람가,8,2018,0,7
86,말모이,1203,23682638520,2812.444,드라마,12세이상관람가,1,2019,0,6
87,곤지암,1124,21442114144,2675.559,공포(호러),15세이상관람가,3,2018,1,3
88,소원,641,18251983100,2663.17,드라마,12세이상관람가,10,2013,0,6
89,살인자의 기억법,1064,21361479492,2656.694,범죄,15세이상관람가,9,2017,1,10
90,탐정 : 더 비기닝,764,20463956973,2625.686,코미디,15세이상관람가,9,2015,1,17
91,지금 만나러 갑니다,1163,20800916128,2602.273,멜로/로맨스,12세이상관람가,3,2018,0,7
92,지푸라기라도 잡고 싶은 짐승들,996,5442138750,626.815,스릴러,청소년관람불가,2,2020,3,12
93,보안관,1091,20697532509,2571.491,범죄,15세이상관람가,5,2017,1,10
94,기술자들,641,19894297783,2564.34,범죄,15세이상관람가,12,2014,1,10
95,목격자,1021,21732042597,2524.086,스릴러,15세이상관람가,8,2018,1,12
96,증인,1047,20312348931,2516.128,드라마,12세이상관람가,2,2019,0,6
97,조작된 도시,1019,20119979587,2512.572,범죄,15세이상관람가,2,2017,1,10
98,블랙머니,1117,20747796510,2465.678,범죄,12세이상관람가,11,2019,0,10
99,조선명탐정: 흡혈괴마의 비밀,1249,19690818764,2424.33,사극,12세이상관람가,2,2018,0,11
100,재심,935,19263100637,2420.729,드라마,15세이상관람가,2,2017,1,6
101,히트맨,1122,20614278000,2406.232,코미디,15세이상관람가,1,2020,1,17
102,사바하,1174,20002183194,2397.792,미스터리,15세이상관람가,2,2019,1,9
103,바람 바람 바람,985,9702206675,1183.959,코미디,청소년관람불가,4,2018,3,17
104,박열,1176,18093543795,2359.174,드라마,12세이상관람가,6,2017,0,6
105,리얼,970,3357312530,470.105,액션,청소년관람불가,6,2017,3,14
106,악의 연대기,776,17360123332,2192.243,스릴러,15세이상관람가,5,2015,1,12
107,친구 2,968,21804687513,2971.475,액션,청소년관람불가,11,2013,3,14
108,신의 한 수: 귀수편,1246,18390955050,2146.764,범죄,15세이상관람가,11,2019,1,10
109,나의 사랑 나의 신부,629,16592056305,2135.614,멜로/로맨스,15세이상관람가,10,2014,1,7
110,굿바이 싱글,841,16912706195,2108.273,코미디,15세이상관람가,6,2016,1,17
111,몽타주,540,15000722500,2095.375,스릴러,15세이상관람가,5,2013,1,12
112,명당,1117,17900775524,2087.474,사극,12세이상관람가,9,2018,0,11
113,타짜-신의 손,890,32267244827,4001.813,드라마,청소년관람불가,9,2014,3,6
114,뷰티 인사이드,648,16152717131,2053.947,판타지,12세이상관람가,8,2015,0,18
115,봉이 김선달,942,16172133642,2044.564,사극,12세이상관람가,7,2016,0,11
116,천문: 하늘에 묻는다,1198,16502543020,2000.49,사극,12세이상관람가,12,2019,0,11
117,남자가 사랑할 때,531,14510222300,1979.311,멜로/로맨스,15세이상관람가,1,2014,1,7
118,협상,919,17032133166,1967.721,범죄,15세이상관람가,9,2018,1,10
119,#살아있다,1882,15965582900,1903.727,드라마,15세이상관람가,6,2020,1,6
120,내안의 그놈,1041,16293580567,1901.684,판타지,15세이상관람가,1,2019,1,18
121,오늘의 연애,709,14924654487,1891.993,멜로/로맨스,15세이상관람가,1,2015,1,7
122,상류사회,867,6313416163,768.442,드라마,청소년관람불가,8,2018,3,6
123,불한당: 나쁜 놈들의 세상,860,7654331125,951.797,범죄,청소년관람불가,5,2017,3,10
