,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1,Point
0,명량,1587,135748398910,17613.682,사극,15세이상관람가,7,2014,1,11,8.6
1,극한직업,1978,139647979516,16264.944,코미디,15세이상관람가,1,2019,1,17,8.62
2,신과함께-죄와 벌,1912,115698654137,14410.754000000000,판타지,12세이상관람가,12,2017,0,18,7.98
3,국제시장,966,110828014630,14245.998,드라마,12세이상관람가,12,2014,0,6,9.08
4,베테랑,1064,105024756250,13395.4,액션,15세이상관람가,8,2015,1,14,9.08
5,7번방의 선물,787,91431914670,12811.206,코미디,15세이상관람가,1,2013,1,17,9.13
6,암살,1519,98463132781,12705.7,액션,15세이상관람가,7,2015,1,14,9.0
7,신과함께-인과 연,2235,102476768809,12253.247,판타지,12세이상관람가,8,2018,0,18,7.72
8,택시운전사,1906,95284747049,12099.971000000000,드라마,15세이상관람가,8,2017,1,6,9.08
9,부산행,1788,93175877048,11565.078000000000,액션,15세이상관람가,7,2016,1,14,8.04
10,변호인,923,82856578300,11372.451000000000,드라마,15세이상관람가,12,2013,1,6,8.9
11,기생충,1948,87459840095,10313.087,드라마,15세이상관람가,5,2019,1,6,8.5
12,검사외전,1812,77252755264,9699.092000000000,범죄,15세이상관람가,2,2016,1,10,8.06
13,엑시트,1660,79232212162,9426.051,코미디,12세이상관람가,7,2019,0,17,8.38
14,관상,1190,66005451500,9134.586,사극,15세이상관람가,9,2013,1,11,7.95
15,설국열차,1128,64016480000,8914.845,SF,15세이상관람가,8,2013,1,0,7.98
16,수상한 그녀,692,62696639249,8656.397000000000,드라마,15세이상관람가,1,2014,1,6,9.06
17,해적: 바다로 간 산적,838,66240631706,8646.758,어드벤처,12세이상관람가,8,2014,0,15,8.36
18,백두산,1971,69825366300,8252.669,어드벤처,12세이상관람가,12,2019,0,15,5.87
19,히말라야,1009,60173583015,7759.473000000000,드라마,12세이상관람가,12,2015,0,6,8.05
20,밀정,1444,61158644831,7487.545,액션,15세이상관람가,9,2016,1,14,8.4
21,1987,1299,58165581145,7231.638000000000,드라마,15세이상관람가,12,2017,1,6,9.26
22,베를린,894,52354931637,7166.1990000000000,액션,15세이상관람가,1,2013,1,14,7.82
23,터널,1105,57510324417,7118.592,드라마,12세이상관람가,8,2016,0,6,8.41
24,타짜: 원 아이드 잭,1429,19673441214,2227.6710000000000,범죄,청소년관람불가,9,2019,3,10,5.46
25,인천상륙작전,1049,55101410303,7049.643,전쟁,12세이상관람가,7,2016,0,16,8.09
26,럭키,1158,56361435256,6965.706,코미디,15세이상관람가,10,2016,1,17,8.61
27,은밀하게 위대하게,1341,48663939413,6953.8,액션,15세이상관람가,6,2013,1,14,7.41
28,곡성,1485,55853108382,6878.264,미스터리,15세이상관람가,5,2016,1,9,7.61
29,범죄도시,1315,56077813249,6851.297,범죄,청소년관람불가,10,2017,3,10,9.22
30,군함도,2027,50510565168,6592.151,액션,15세이상관람가,7,2017,1,14,5.02
31,사도,1210,48842902501,6246.849,사극,12세이상관람가,9,2015,0,11,8.18
32,연평해전,1013,45560620330,6043.4580000000000,드라마,12세이상관람가,6,2015,0,6,9.07
33,청년경찰,1102,44241099316,5636.259,액션,15세이상관람가,8,2017,1,14,8.59
34,숨바꼭질,779,39593038500,5602.543000000000,스릴러,15세이상관람가,8,2013,1,12,7.37
35,덕혜옹주,964,44344141109,5593.5510000000000,사극,12세이상관람가,8,2016,0,11,8.52
36,더 테러 라이브,743,39866712881,5583.596,범죄,15세이상관람가,7,2013,1,10,8.33
37,감시자들,949,39298005179,5496.547,범죄,15세이상관람가,7,2013,1,10,8.03
38,검은 사제들,1088,42395347092,5440.945,미스터리,15세이상관람가,11,2015,1,9,8.45
39,안시성,1540,46335334026,5440.186,사극,12세이상관람가,9,2018,0,11,8.05
40,완벽한 타인,1313,44356752474,5294.119000000000,드라마,15세이상관람가,10,2018,1,6,8.76
41,독전,1357,43484892913,5063.62,범죄,15세이상관람가,5,2018,1,10,7.75
42,공작,1317,42759410176,4971.2610000000000,드라마,12세이상관람가,8,2018,0,6,6.85
43,마스터,1501,39811539665,4940.091000000000,액션,15세이상관람가,12,2016,1,14,7.98
44,봉오동 전투,1476,40514276538,4779.501,사극,15세이상관람가,8,2019,1,11,7.84
45,군도: 민란의 시대,1394,36987755999,4774.895,사극,15세이상관람가,7,2014,1,11,7.11
46,남산의 부장들,1659,41223596650,4750.104,드라마,15세이상관람가,1,2020,1,6,7.41
47,악인전,1307,29128292150,3364.079,범죄,청소년관람불가,5,2019,3,10,8.09
48,나쁜 녀석들: 더 무비,1511,39560195124,4573.902,범죄,15세이상관람가,9,2019,1,10,6.6
49,강철비,1426,35477912466,4451.336000000000,액션,15세이상관람가,12,2017,1,14,8.43
50,다만 악에서 구하소서,1997,38536886110,4350.041,범죄,15세이상관람가,8,2020,1,10,7.74
51,판도라,1166,33861718164,4302.032,드라마,12세이상관람가,12,2016,0,6,8.49
52,마약왕,1297,16222446942,1864.076,범죄,청소년관람불가,12,2018,3,10,6.63
53,용의자,807,30037161000,4131.248,액션,15세이상관람가,12,2013,1,14,8.44
54,꾼,1314,31313568795,4018.341,범죄,15세이상관람가,11,2017,1,10,7.86
55,아수라,1278,20576226662,2594.028,범죄,청소년관람불가,9,2016,3,10,6.2
56,박수건달,599,28343986569,3893.216,코미디,15세이상관람가,1,2013,1,17,8.52
57,조선명탐정 : 사라진 놉의 딸,811,30456879428,3872.015,사극,12세이상관람가,2,2015,0,11,7.7
58,역린,1054,29893297890,3849.433,사극,15세이상관람가,4,2014,1,11,7.04
59,남한산성,1229,31067321992,3829.8910000000000,사극,15세이상관람가,10,2017,1,11,8.0
60,반도,2575,33067818280,3811.722,액션,15세이상관람가,7,2020,1,14,5.86
61,암수살인,1177,32855895548,3772.62,범죄,15세이상관람가,10,2018,1,10,8.33
62,국가부도의 날,1180,30891765837,3754.9830000000000,드라마,12세이상관람가,11,2018,0,6,8.26
63,82년생 김지영,1486,30305744310,3679.0190000000000,드라마,12세이상관람가,10,2019,0,6,6.63
64,귀향,876,27245051990,3586.5230000000000,드라마,15세이상관람가,2,2016,1,6,9.22
65,아가씨,1171,35114332791,4277.071,스릴러,청소년관람불가,6,2016,3,12,7.13
66,끝까지 간다,645,27006007900,3450.143,액션,15세이상관람가,5,2014,1,14,9.05
67,스파이,785,24436429305,3423.92,액션,15세이상관람가,9,2013,1,14,8.03
68,그것만이 내 세상,862,27441213382,3417.6290000000000,코미디,12세이상관람가,1,2018,0,17,8.94
69,돈,1431,28869614062,3389.035,범죄,15세이상관람가,3,2019,1,10,7.64
70,내부자들,1075,56596582057,7071.763000000000,범죄,청소년관람불가,11,2015,3,10,9.02
71,시동,1515,28098934360,3317.038,드라마,15세이상관람가,12,2019,1,6,7.86
72,아이 캔 스피크,1140,25532214986,3280.243,코미디,12세이상관람가,9,2017,0,17,9.35
73,마녀,1117,27242029463,3189.091,미스터리,15세이상관람가,6,2018,1,9,8.16
74,탐정: 리턴즈,1041,26865721678,3148.038,코미디,15세이상관람가,6,2018,1,17,8.6
75,감기,806,21784202000,3119.0230000000000,드라마,15세이상관람가,8,2013,1,6,7.59
76,스물,926,23558988686,3044.134,코미디,15세이상관람가,3,2015,1,17,7.78
77,형,993,23113768293,2979.659,코미디,12세이상관람가,11,2016,0,17,8.46
