순번,영화명,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
1,명량,2014-07-30,"1,587","135,748,398,910","17,613,682",사극,15세이상관람가
2,극한직업,2019-01-23,"1,978","139,647,979,516","16,264,944",코미디,15세이상관람가
3,신과함께-죄와 벌,2017-12-20,"1,912","115,698,654,137","14,410,754",판타지,12세이상관람가
4,국제시장,2014-12-17,966,"110,828,014,630","14,245,998",드라마,12세이상관람가
5,베테랑,2015-08-05,"1,064","105,024,756,250","13,395,400",액션,15세이상관람가
6,7번방의 선물,2013-01-23,787,"91,431,914,670","12,811,206",코미디,15세이상관람가
7,암살,2015-07-22,"1,519","98,463,132,781","12,705,700",액션,15세이상관람가
8,신과함께-인과 연,2018-08-01,"2,235","102,476,768,809","12,253,247",판타지,12세이상관람가
9,택시운전사,2017-08-02,"1,906","95,284,747,049","12,099,971",드라마,15세이상관람가
10,부산행,2016-07-20,"1,788","93,175,877,048","11,565,078",액션,15세이상관람가
11,변호인,2013-12-18,923,"82,856,578,300","11,372,451",드라마,15세이상관람가
12,기생충,2019-05-30,"1,948","87,459,840,095","10,313,087",드라마,15세이상관람가
13,검사외전,2016-02-03,"1,812","77,252,755,264","9,699,092",범죄,15세이상관람가
14,엑시트,2019-07-31,"1,660","79,232,212,162","9,426,051",코미디,12세이상관람가
15,관상,2013-09-11,"1,190","66,005,451,500","9,134,586",사극,15세이상관람가
16,설국열차,2013-08-01,"1,128","64,016,480,000","8,914,845",SF,15세이상관람가
17,수상한 그녀,2014-01-22,692,"62,696,639,249","8,656,397",드라마,15세이상관람가
18,해적: 바다로 간 산적,2014-08-06,838,"66,240,631,706","8,646,758",어드벤처,12세이상관람가
19,백두산,2019-12-19,"1,971","69,825,366,300","8,252,669",어드벤처,12세이상관람가
20,히말라야,2015-12-16,"1,009","60,173,583,015","7,759,473",드라마,12세이상관람가
21,밀정,2016-09-07,"1,444","61,158,644,831","7,487,545",액션,15세이상관람가
22,1987,2017-12-27,"1,299","58,165,581,145","7,231,638",드라마,15세이상관람가
23,베를린,2013-01-30,894,"52,354,931,637","7,166,199",액션,15세이상관람가
24,터널,2016-08-10,"1,105","57,510,324,417","7,118,592",드라마,12세이상관람가
106,타짜: 원 아이드 잭,2019-09-11,"1,429","19,673,441,214","2,227,671",범죄,청소년관람불가
26,인천상륙작전,2016-07-27,"1,049","55,101,410,303","7,049,643",전쟁,12세이상관람가
27,럭키,2016-10-13,"1,158","56,361,435,256","6,965,706",코미디,15세이상관람가
28,은밀하게 위대하게,2013-06-05,"1,341","48,663,939,413","6,953,800",액션,15세이상관람가
29,곡성,2016-05-12,"1,485","55,853,108,382","6,878,264",미스터리,15세이상관람가
30,범죄도시,2017-10-03,"1,315","56,077,813,249","6,851,297",범죄,청소년관람불가
31,군함도,2017-07-26,"2,027","50,510,565,168","6,592,151",액션,15세이상관람가
32,사도,2015-09-16,"1,210","48,842,902,501","6,246,849",사극,12세이상관람가
33,연평해전,2015-06-24,"1,013","45,560,620,330","6,043,458",드라마,12세이상관람가
34,청년경찰,2017-08-09,"1,102","44,241,099,316","5,636,259",액션,15세이상관람가
35,숨바꼭질,2013-08-14,779,"39,593,038,500","5,602,543",스릴러,15세이상관람가
36,덕혜옹주,2016-08-03,964,"44,344,141,109","5,593,551",사극,12세이상관람가
37,더 테러 라이브,2013-07-31,743,"39,866,712,881","5,583,596",범죄,15세이상관람가
38,감시자들,2013-07-03,949,"39,298,005,179","5,496,547",범죄,15세이상관람가
39,검은 사제들,2015-11-05,"1,088","42,395,347,092","5,440,945",미스터리,15세이상관람가
40,안시성,2018-09-19,"1,540","46,335,334,026","5,440,186",사극,12세이상관람가
41,완벽한 타인,2018-10-31,"1,313","44,356,752,474","5,294,119",드라마,15세이상관람가
42,독전,2018-05-22,"1,357","43,484,892,913","5,063,620",범죄,15세이상관람가
43,공작,2018-08-08,"1,317","42,759,410,176","4,971,261",드라마,12세이상관람가
44,마스터,2016-12-21,"1,501","39,811,539,665","4,940,091",액션,15세이상관람가
45,봉오동 전투,2019-08-07,"1,476","40,514,276,538","4,779,501",사극,15세이상관람가
46,군도: 민란의 시대,2014-07-23,"1,394","36,987,755,999","4,774,895",사극,15세이상관람가
47,남산의 부장들,2020-01-22,"1,659","41,223,596,650","4,750,104",드라마,15세이상관람가
71,악인전,2019-05-15,"1,307","29,128,292,150","3,364,079",범죄,청소년관람불가
49,나쁜 녀석들: 더 무비,2019-09-11,"1,511","39,560,195,124","4,573,902",범죄,15세이상관람가
50,강철비,2017-12-14,"1,426","35,477,912,466","4,451,336",액션,15세이상관람가
51,다만 악에서 구하소서,2020-08-05,"1,997","38,536,886,110","4,350,041",범죄,15세이상관람가
52,판도라,2016-12-07,"1,166","33,861,718,164","4,302,032",드라마,12세이상관람가
124,마약왕,2018-12-19,"1,297","16,222,446,942","1,864,076",범죄,청소년관람불가
54,용의자,2013-12-24,807,"30,037,161,000","4,131,248",액션,15세이상관람가
55,꾼,2017-11-22,"1,314","31,313,568,795","4,018,341",범죄,15세이상관람가
93,아수라,2016-09-28,"1,278","20,576,226,662","2,594,028",범죄,청소년관람불가
57,박수건달,2013-01-09,599,"28,343,986,569","3,893,216",코미디,15세이상관람가
58,조선명탐정 : 사라진 놉의 딸,2015-02-11,811,"30,456,879,428","3,872,015",사극,12세이상관람가
59,역린,2014-04-30,"1,054","29,893,297,890","3,849,433",사극,15세이상관람가
60,남한산성,2017-10-03,"1,229","31,067,321,992","3,829,891",사극,15세이상관람가
61,반도,2020-07-15,"2,575","33,067,818,280","3,811,722",액션,15세이상관람가
62,암수살인,2018-10-03,"1,177","32,855,895,548","3,772,620",범죄,15세이상관람가
63,국가부도의 날,2018-11-28,"1,180","30,891,765,837","3,754,983",드라마,12세이상관람가
64,82년생 김지영,2019-10-23,"1,486","30,305,744,310","3,679,019",드라마,12세이상관람가
65,귀향,2016-02-24,876,"27,245,051,990","3,586,523",드라마,15세이상관람가
53,아가씨,2016-06-01,"1,171","35,114,332,791","4,277,071",스릴러,청소년관람불가
67,끝까지 간다,2014-05-29,645,"27,006,007,900","3,450,143",액션,15세이상관람가
68,스파이,2013-09-05,785,"24,436,429,305","3,423,920",액션,15세이상관람가
69,그것만이 내 세상,2018-01-17,862,"27,441,213,382","3,417,629",코미디,12세이상관람가
70,돈,2019-03-20,"1,431","28,869,614,062","3,389,035",범죄,15세이상관람가
25,내부자들,2015-11-19,"1,075","56,596,582,057","7,071,763",범죄,청소년관람불가
72,시동,2019-12-18,"1,515","28,098,934,360","3,317,038",드라마,15세이상관람가
73,아이 캔 스피크,2017-09-21,"1,140","25,532,214,986","3,280,243",코미디,12세이상관람가
74,마녀,2018-06-27,"1,117","27,242,029,463","3,189,091",미스터리,15세이상관람가
76,탐정: 리턴즈,2018-06-13,"1,041","26,865,721,678","3,148,038",코미디,15세이상관람가
77,감기,2013-08-14,806,"21,784,202,000","3,119,023",드라마,15세이상관람가
78,스물,2015-03-25,926,"23,558,988,686","3,044,134",코미디,15세이상관람가
79,형,2016-11-23,993,"23,113,768,293","2,979,659",코미디,12세이상관람가
82,프리즌,2017-03-23,"1,047","23,790,276,987","2,931,897",범죄,청소년관람불가
81,공조,2017-01-18,976,"23,918,185,757","2,957,330",액션,15세이상관람가
159,브이아이피,2017-08-23,996,"10,956,621,835","1,373,316",범죄,청소년관람불가
83,가장 보통의 연애,2019-10-02,"1,073","24,822,316,930","2,917,213",멜로/로맨스,15세이상관람가
84,극비수사,2015-06-18,894,"22,389,535,897","2,860,786",드라마,15세이상관람가
85,표적,2014-04-30,665,"22,256,359,300","2,841,788",액션,15세이상관람가
86,너의 결혼식,2018-08-22,962,"23,670,604,369","2,820,029",멜로/로맨스,12세이상관람가
87,말모이,2019-01-09,"1,203","23,682,638,520","2,812,444",드라마,12세이상관람가
88,곤지암,2018-03-28,"1,124","21,442,114,144","2,675,559",공포(호러),15세이상관람가
89,소원,2013-10-02,641,"18,251,983,100","2,663,170",드라마,12세이상관람가
90,살인자의 기억법,2017-09-06,"1,064","21,361,479,492","2,656,694",범죄,15세이상관람가
91,탐정 : 더 비기닝,2015-09-24,764,"20,463,956,973","2,625,686",코미디,15세이상관람가
92,지금 만나러 갑니다,2018-03-14,"1,163","20,800,916,128","2,602,273",멜로/로맨스,12세이상관람가
243,지푸라기라도 잡고 싶은 짐승들,2020-02-19,996,"5,442,138,750","626,815",스릴러,청소년관람불가
94,보안관,2017-05-03,"1,091","20,697,532,509","2,571,491",범죄,15세이상관람가
95,기술자들,2014-12-24,641,"19,894,297,783","2,564,340",범죄,15세이상관람가
96,목격자,2018-08-15,"1,021","21,732,042,597","2,524,086",스릴러,15세이상관람가
97,증인,2019-02-13,"1,047","20,312,348,931","2,516,128",드라마,12세이상관람가
98,조작된 도시,2017-02-09,"1,019","20,119,979,587","2,512,572",범죄,15세이상관람가
99,블랙머니,2019-11-13,"1,117","20,747,796,510","2,465,678",범죄,12세이상관람가
100,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"1,249","19,690,818,764","2,424,330",사극,12세이상관람가
101,재심,2017-02-15,935,"19,263,100,637","2,420,729",드라마,15세이상관람가
102,히트맨,2020-01-22,"1,122","20,614,278,000","2,406,232",코미디,15세이상관람가
103,사바하,2019-02-20,"1,174","20,002,183,194","2,397,792",미스터리,15세이상관람가
178,바람 바람 바람,2018-04-05,985,"9,702,206,675","1,183,959",코미디,청소년관람불가
105,박열,2017-06-28,"1,176","18,093,543,795","2,359,174",드라마,12세이상관람가
274,리얼,2017-06-28,970,"3,357,312,530","470,105",액션,청소년관람불가
107,악의 연대기,2015-05-14,776,"17,360,123,332","2,192,243",스릴러,15세이상관람가
80,친구 2,2013-11-14,968,"21,804,687,513","2,971,475",액션,청소년관람불가
109,신의 한 수: 귀수편,2019-11-07,"1,246","18,390,955,050","2,146,764",범죄,15세이상관람가
110,나의 사랑 나의 신부,2014-10-08,629,"16,592,056,305","2,135,614",멜로/로맨스,15세이상관람가
111,굿바이 싱글,2016-06-29,841,"16,912,706,195","2,108,273",코미디,15세이상관람가
112,몽타주,2013-05-16,540,"15,000,722,500","2,095,375",스릴러,15세이상관람가
113,명당,2018-09-19,"1,117","17,900,775,524","2,087,474",사극,12세이상관람가
56,타짜-신의 손,2014-09-03,890,"32,267,244,827","4,001,813",드라마,청소년관람불가
115,뷰티 인사이드,2015-08-20,648,"16,152,717,131","2,053,947",판타지,12세이상관람가
116,봉이 김선달,2016-07-06,942,"16,172,133,642","2,044,564",사극,12세이상관람가
117,천문: 하늘에 묻는다,2019-12-26,"1,198","16,502,543,020","2,000,490",사극,12세이상관람가
118,남자가 사랑할 때,2014-01-22,531,"14,510,222,300","1,979,311",멜로/로맨스,15세이상관람가
119,협상,2018-09-19,919,"17,032,133,166","1,967,721",범죄,15세이상관람가
120,#살아있다,2020-06-24,"1,882","15,965,582,900","1,903,727",드라마,15세이상관람가
121,내안의 그놈,2019-01-09,"1,041","16,293,580,567","1,901,684",판타지,15세이상관람가
122,오늘의 연애,2015-01-14,709,"14,924,654,487","1,891,993",멜로/로맨스,15세이상관람가
224,상류사회,2018-08-29,867,"6,313,416,163","768,442",드라마,청소년관람불가
206,불한당: 나쁜 놈들의 세상,2017-05-17,860,"7,654,331,125","951,797",범죄,청소년관람불가
125,노무현입니다,2017-05-25,775,"14,554,935,612","1,854,867",다큐멘터리,12세이상관람가
126,집으로 가는 길,2013-12-11,740,"13,048,519,745","1,854,625",드라마,15세이상관람가
127,뺑반,2019-01-30,"1,285","15,222,811,848","1,826,714",범죄,15세이상관람가
128,변신,2019-08-21,975,"15,417,922,925","1,804,112",공포(호러),15세이상관람가
129,강철비2: 정상회담,2020-07-29,"2,138","14,656,434,610","1,790,972",드라마,15세이상관람가
130,공범,2013-10-24,611,"12,333,110,882","1,766,285",스릴러,15세이상관람가
131,대호,2015-12-16,892,"13,489,904,632","1,762,742",사극,12세이상관람가
108,강남 1970,2015-01-21,841,"17,717,971,499","2,192,172",액션,청소년관람불가
133,제보자,2014-10-02,676,"13,371,522,302","1,735,640",드라마,12세이상관람가
134,파파로티,2013-03-14,552,"11,808,286,000","1,713,891",드라마,15세이상관람가
135,쎄시봉,2015-02-05,829,"13,509,581,911","1,707,487",멜로/로맨스,15세이상관람가
136,피끓는 청춘,2014-01-22,679,"11,688,382,888","1,676,040",코미디,15세이상관람가
137,PMC: 더 벙커,2018-12-26,"1,081","14,024,838,424","1,671,548",액션,15세이상관람가
138,임금님의 사건수첩,2017-04-26,"1,054","12,648,793,723","1,634,403",코미디,12세이상관람가
139,걸캅스,2019-05-09,973,"13,772,604,134","1,625,037",코미디,15세이상관람가
140,우아한 거짓말,2014-03-13,555,"11,694,011,300","1,613,392",드라마,12세이상관람가
